iter	Passed	Remaining
749	1355	451
750	1357	449
751	1358	448
752	1361	446
753	1362	444
754	1365	442
755	1366	441
756	1367	439
757	1369	437
758	1370	435
759	1372	433
760	1373	431
761	1374	429
762	1376	427
763	1377	425
764	1379	423
765	1381	421
766	1382	419
767	1383	417
768	1385	416
769	1386	414
770	1387	412
771	1389	410
772	1390	408
773	1391	406
774	1393	404
775	1395	402
776	1396	400
777	1398	399
778	1399	397
779	1401	395
780	1403	393
781	1405	391
782	1408	390
783	1409	388
784	1410	386
785	1412	384
786	1413	382
787	1415	380
788	1416	378
789	1417	376
790	1419	375
791	1421	373
792	1422	371
793	1423	369
794	1424	367
795	1426	365
796	1427	363
797	1428	361
798	1429	359
799	1431	357
800	1432	355
801	1433	353
802	1435	352
803	1436	350
804	1437	348
805	1439	346
806	1440	344
807	1441	342
808	1442	340
809	1444	338
810	1445	336
811	1447	335
812	1449	333
813	1451	331
814	1452	329
815	1454	327
816	1455	326
817	1456	324
818	1458	322
819	1459	320
820	1461	318
821	1462	316
822	1463	314
823	1464	312
824	1465	310
825	1467	309
826	1468	307
827	1469	305
828	1471	303
829	1472	301
830	1473	299
831	1474	297
832	1476	295
833	1477	294
834	1478	292
835	1480	290
836	1481	288
837	1482	286
838	1484	284
839	1486	283
840	1488	281
841	1489	279
842	1491	277
843	1492	275
844	1493	273
845	1494	272
846	1495	270
847	1497	268
848	1498	266
849	1499	264
850	1500	262
851	1502	260
852	1503	259
853	1504	257
854	1506	255
855	1507	253
856	1509	251
857	1510	250
858	1511	248
859	1513	246
860	1514	244
861	1515	242
862	1517	240
863	1518	238
864	1519	237
865	1520	235
866	1521	233
867	1522	231
868	1523	229
869	1525	227
870	1526	226
871	1527	224
872	1529	222
873	1530	220
874	1531	218
875	1532	216
876	1533	215
877	1534	213
878	1535	211
879	1537	209
880	1538	207
881	1539	205
882	1540	204
883	1541	202
884	1543	200
885	1544	198
886	1545	196
887	1546	195
888	1548	193
889	1550	191
890	1552	189
891	1554	188
892	1555	186
893	1557	184
894	1559	182
895	1560	181
896	1561	179
897	1563	177
898	1564	175
899	1566	174
900	1568	172
901	1569	170
902	1572	168
903	1574	167
904	1576	165
905	1577	163
906	1580	162
907	1581	160
908	1583	158
909	1584	156
910	1586	154
911	1587	153
912	1589	151
913	1590	149
914	1592	147
915	1593	146
916	1594	144
917	1595	142
918	1597	140
919	1598	139
920	1600	137
921	1602	135
922	1603	133
923	1605	132
924	1606	130
925	1608	128
926	1610	126
927	1612	125
928	1614	123
929	1616	121
930	1617	119
931	1619	118
932	1620	116
933	1622	114
934	1623	112
935	1625	111
936	1626	109
937	1627	107
938	1628	105
939	1630	104
940	1631	102
941	1633	100
942	1634	98
943	1635	97
944	1636	95
945	1638	93
946	1640	91
947	1641	90
948	1642	88
949	1644	86
950	1646	84
951	1648	83
952	1649	81
953	1651	79
954	1654	77
955	1656	76
956	1657	74
957	1659	72
958	1661	71
959	1663	69
960	1664	67
961	1667	65
962	1668	64
963	1669	62
964	1671	60
965	1672	58
966	1674	57
967	1675	55
968	1677	53
969	1678	51
970	1679	50
971	1682	48
972	1684	46
973	1685	44
974	1686	43
975	1687	41
976	1689	39
977	1690	38
978	1692	36
979	1693	34
980	1698	32
981	1700	31
982	1702	29
983	1705	27
984	1706	25
985	1709	24
986	1710	22
987	1712	20
988	1713	19
989	1714	17
990	1716	15
991	1717	13
992	1718	12
993	1720	10
994	1722	8
995	1723	6
996	1724	5
997	1726	3
998	1728	1
999	1729	0
